driver_id,driver_name,skill_raw,skill_code,skill_small,skill_medium,skill_large,skill_valid,skill_warning
DRV_001,박빈정,111,111,1,1,4,True,
DRV_002,임영재,111,111,1,1,4,True,
DRV_003,임훈정,111,111,1,1,4,True,
DRV_004,백하용,111,111,1,1,4,True,
DRV_005,문하인,233,233,2,3,4,True,
DRV_006,박서현,111,111,1,1,4,True,
DRV_007,오택현,111,111,1,1,4,True,
DRV_008,권승준,233,233,2,3,4,True,
DRV_009,김원승,333,333,3,3,4,True,
DRV_010,허준민,111,111,1,1,4,True,
DRV_011,원허,223,223,2,2,4,True,
DRV_012,허환준,111,111,1,1,4,True,
DRV_013,김진영,333,333,3,3,4,True,
DRV_014,신훈채,223,223,2,2,4,True,
DRV_015,이준승,223,223,2,2,4,True,
DRV_016,노호은,333,333,3,3,4,True,
DRV_017,박서민,233,233,2,3,4,True,
DRV_018,박영준,233,233,2,3,4,True,
DRV_019,황수현,233,233,2,3,4,True,
DRV_020,김진무,333,333,3,3,4,True,
DRV_021,서범태,333,333,3,3,4,True,
DRV_022,오준원,333,333,3,3,4,True,
DRV_023,정수지,333,333,3,3,4,True,
DRV_024,이우원,333,333,3,3,4,True,
DRV_025,이호민,334,334,3,3,4,True,
DRV_026,제윤정,333,333,3,3,4,True,
DRV_027,이섭민,334,334,3,3,4,True,
DRV_028,장서준,344,344,3,4,4,True,
DRV_029,박훈지,344,344,3,4,4,True,
DRV_030,이훈경,444,444,4,4,4,True,
DRV_031,장현우,444,444,4,4,4,True,
DRV_032,한하준,444,444,4,4,4,True,
DRV_033,황찬유,444,444,4,4,4,True,
